University Name
Harvard University
Massachusetts Institute of Technology
Stanford University
University of Cambridge
University of Oxford
California Institute of Technology
Princeton University
Yale University
University of Chicago
Imperial College London
ETH Zurich
University of Pennsylvania
Johns Hopkins University
University of California, Berkeley
University of Toronto
University College London
Columbia University
University of California, Los Angeles
Cornell University
Duke University
University of Michigan
Carnegie Mellon University
Northwestern University
New York University
University of Washington
University of Texas at Austin
University of Illinois at Urbana-Champaign
University of Wisconsin-Madison
University of California, San Diego
University of British Columbia
University of California, Santa Barbara
University of Southern California
University of North Carolina at Chapel Hill
Boston University
University of California, Davis
University of Minnesota
University of California, Irvine
Pennsylvania State University
Ohio State University
Purdue University
University of Maryland
University of Virginia
University of Florida
Rutgers University
University of Pittsburgh
Arizona State University
University of Colorado Boulder
University of California, Riverside
University of Notre Dame
Vanderbilt University
University of Rochester
Rice University
Case Western Reserve University
Georgetown University
Emory University
University of Miami
Tufts University
Wake Forest University
Brandeis University
Lehigh University
Northeastern University
University of California, Santa Cruz
University of California, Merced
University of California, San Francisco
University of California, Hastings
University of California, Irvine
University of California, Los Angeles
University of California, Riverside
University of California, San Diego
University of California, Santa Barbara
University of California, Santa Cruz
University of California, Berkeley
University of California, Davis
University of California, Merced
University of California, San Francisco
University of California, Hastings
Technical University of Munich
Ludwig Maximilian University of Munich
Heidelberg University
Humboldt University of Berlin
Free University of Berlin
University of Freiburg
University of Tübingen
University of Göttingen
University of Bonn
RWTH Aachen University
University of Hamburg
University of Cologne
University of Frankfurt
University of Stuttgart
University of Erlangen-Nuremberg
University of Würzburg
University of Münster
University of Regensburg
University of Konstanz
University of Mannheim
University of Bielefeld
University of Duisburg-Essen
University of Bochum
University of Düsseldorf
University of Kiel
University of Mainz
University of Marburg
University of Oldenburg
University of Osnabrück
University of Paderborn
University of Passau
University of Potsdam
University of Rostock
University of Siegen
University of Trier
University of Ulm
University of Wuppertal
University of Bayreuth
University of Bremen
University of Chemnitz
University of Erfurt
University of Flensburg
University of Giessen
University of Greifswald
University of Hagen
University of Halle-Wittenberg
University of Hannover
University of Jena
University of Kaiserslautern
University of Kassel
University of Koblenz-Landau
University of Lüneburg
University of Magdeburg
University of Neubrandenburg
University of Paderborn
University of Saarland
University of Trier
University of Vechta
University of Weimar
University of Witten/Herdecke
University of Wuppertal
Sorbonne University
University of Paris
École Normale Supérieure
École Polytechnique
Sciences Po
University of Lyon
University of Strasbourg
University of Aix-Marseille
University of Bordeaux
University of Grenoble
University of Lille
University of Montpellier
University of Nancy
University of Nantes
University of Nice
University of Orléans
University of Poitiers
University of Reims
University of Rennes
University of Rouen
University of Toulouse
University of Tours
University of Valenciennes
University of Versailles
University of Évry
University of Cergy-Pontoise
University of Marne-la-Vallée
University of Paris-Est
University of Paris-Nord
University of Paris-Sud
University of Paris-Diderot
University of Paris-Dauphine
University of Paris-Descartes
University of Paris-Sorbonne
University of Paris-Panthéon-Assas
University of Paris-Panthéon-Sorbonne
University of Vienna
University of Graz
University of Innsbruck
University of Salzburg
University of Linz
University of Klagenfurt
University of Leoben
Vienna University of Technology
Graz University of Technology
University of Natural Resources and Life Sciences
Medical University of Vienna
Medical University of Graz
Medical University of Innsbruck
Veterinary University of Vienna
University of Applied Sciences Vienna
University of Applied Sciences Upper Austria
University of Applied Sciences Burgenland
University of Applied Sciences Carinthia
University of Applied Sciences Lower Austria
University of Applied Sciences Salzburg
University of Applied Sciences Styria
University of Applied Sciences Tyrol
University of Applied Sciences Vorarlberg
University of Applied Sciences Wiener Neustadt

